# Layer-2 SF6 industrial point sources. Pull date 2026-06-03.
# US = EPA GHGRP (Envirofacts); EU = E-PRTR via EEA discodata [IED].[latest], SF6/AIR.
# GAP: China (~57% of global SF6) and most of Asia have no facility-level reporting.
facility_name,country,lat,lon,sf6_tonnes_yr,year,source_dataset,sector,notes
Cargill Corn Milling North America,US,41.520412,-96.079271,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
PATRIOT RENEWABLE FUELS LLC,US,41.3918,-89.8752,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
FLINT HILLS RESOURCES ARTHUR LLC,US,42.33037,-95.34253,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
PureField Ingredients LLC,US,38.90005,-98.84066,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
SWIFT BEEF COMPANY,US,40.92204,-98.3204,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TYSON FRESH MEATS INC,US,40.7335,-86.3915,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
BIG RIVER RESOURCES GALVA LLC,US,41.169691,-90.024473,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
CENTRAL BI-PRODUCTS - LONG PRAIRIE,US,45.9973,-94.8611,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Flint Hills Resources Camilla, LLC",US,31.169408,-84.162558,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
International Paper-Prattville Mill,US,32.4167,-86.4667,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,II,TT"
"PRAIRIE HORIZON AGRI-ENERGY, L",US,39.760046,-99.304262,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Pratt Industries,US,32.373611,-93.644167,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Tyson Farms Inc., River Valley Ingredients - Hanceville",US,33.955694,-86.815268,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Hood Container Corporation,US,36.083371,-87.93641,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,TT"
CARGILL MEAT SOLUTIONS,US,37.736389,-99.955833,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
International Paper Company - Newport Mill,US,39.908167,-87.415361,,,EPA GHGRP (Envirofacts),industrial,subparts=II
International Paper - Maysville Mill,US,38.69004,-83.80226,,,EPA GHGRP (Envirofacts),industrial,subparts=II
Coal Creek,US,47.3761,-101.1567,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,D,II"
ON Semiconductor,US,45.524721,-122.426083,0.463,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
ANDERSONS DENISON ETHANOL LLC,US,41.98905,-95.39912,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Valley Proteins, Inc. - Fayetteville",US,35.03104,-78.86301,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
PLAINVIEW BIOENERY LLC,US,34.180594,-101.627387,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
SWIFT & CO,US,36.04927,-102.00131,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
MID-MISSOURI ENERGY LLC,US,39.19446,-93.38376,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
"American Proteins, Inc. - Cumming",US,34.281587,-84.058034,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ANDERSONS ALBION ETHANOL LLC,US,42.259646,-84.789726,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
THARALDSON ETHANOL PLANT I LLC,US,46.90361,-97.26349,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Allens, Inc. - Van Buren",US,35.4312,-94.34633,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Texas Instruments Richardson,US,32.99758,-96.72214,1.212,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Jireh Semiconductor, Inc.",US,45.547995,-122.931363,1.363,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Avago Technologies,US,40.5236,-105.02021,0.319,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Microchip Technology Inc.,US,33.41663,-111.96953,0.307,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
